Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value,Year,Month,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Coal,GWh,74857.26,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Gas,GWh,4250.39,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Hydro,GWh,15746.26,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Nuclear,GWh,4312.43,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Other Fossil,GWh,7.29,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Other Renewables,GWh,31.79,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Solar,GWh,3882.41,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Wind,GWh,2111.48,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Bioenergy,GWh,1070.36,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Coal,GWh,75718.4,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Gas,GWh,3807.33,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Hydro,GWh,10856.35,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Nuclear,GWh,3792.35,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Other Fossil,GWh,7.28,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Other Renewables,GWh,27.57,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Solar,GWh,3936.81,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Wind,GWh,2723.82,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Bioenergy,GWh,2096.27,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Coal,GWh,82769.77,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Gas,GWh,3551.76,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Hydro,GWh,9628.58,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Nuclear,GWh,3676.59,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Other Fossil,GWh,7.62,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Other Renewables,GWh,29.61,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Solar,GWh,3928.39,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Wind,GWh,3948.74,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Bioenergy,GWh,2180.13,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Coal,GWh,87403.67,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Gas,GWh,3392.71,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Hydro,GWh,9227.23,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Nuclear,GWh,3437.39,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Other Fossil,GWh,6.72,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Other Renewables,GWh,23.95,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Solar,GWh,4612.73,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Wind,GWh,3319.95,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Bioenergy,GWh,2215.67,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Coal,GWh,85622.78,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Gas,GWh,3667.27,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Hydro,GWh,8998.02,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Nuclear,GWh,3172.9,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Other Fossil,GWh,10.44,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Other Renewables,GWh,28.68,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Solar,GWh,5090.66,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Wind,GWh,3518.87,2020,2,,,,,,,,,
